stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Documents\ITBA\EDA\Algorithms-and-Data-Structures\Project2\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.08174] Also searching C:\Users\Usuario\Documents\ITBA\EDA\Algorithms-and-Data-Structures\Project2\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.08216] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:760  load_library_at_path             [   0.08231] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:763  load_library_at_path             [   0.08296] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.08306] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.08471] added dtor for queue 013C6D98, func 634D154B
dtor     D               dtor.c:196  _al_register_destructor          [   0.08480] added dtor for timer 01445BB8, func 634D1695
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   4.08908] destroying display 014173B0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   4.09243] waiting for display 014173B0's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.10342] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.10353] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1558 d3d_display_thread_proc          [   4.11380] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.11850] removed dtor for timer 01445BB8
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.11865] removed dtor for queue 013C6D98
